Geo Point;Geo Shape;codeunique;nom_long;nom_so_gar;nom_su_gar;id_ref_ZdC;nom_ZdC;id_ref_ZdA;nom_ZdA;idrefliga;idrefligc;res_com;mode_;train;rer;metro;tramway;val;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y
48.88106934078286, 2.3646861075145877;"{""coordinates"": [2.364686107514588, 48.88106934078286], ""type"": ""Point""}";107041;Louis Blanc;;;71407;Louis Blanc;43823;Louis Blanc;A01540 / A01550;C01377 / C01387;METRO 7 / METRO 7bis;METRO;0;0;1;0;0;0;0;1;0;0;RATP;1;0;653407.0364;6864748.6267
48.82708544796182, 2.27941168205042;"{""coordinates"": [2.27941168205042, 48.82708544796182], ""type"": ""Point""}";112033;Corentin Celton;;;70990;Corentin Celton;42759;Corentin Celton;A01545;C01382;METRO 12;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;647098.5235;6858799.8446
48.8763302640252, 2.3331088937605435;"{""coordinates"": [2.333108893760544, 48.8763302640252], ""type"": ""Point""}";112067;Trinité d'Estienne d'Orves;;;71355;Trinité d'Estienne d'Orves;45170;Trinité d'Estienne d'Orves;A01545;C01382;METRO 12;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;651086.8143;6864240.7689
48.8271636169609, 2.3671730244778457;"{""coordinates"": [2.367173024477846, 48.8271636169609], ""type"": ""Point""}";114005;Olympiades;;;71557;Olympiades;479056;Olympiades;A01547;C01384;METRO 14;METRO;0;0;1;0;0;0;0;1;0;0;RATP;1;1;653541.3819;6858753.3201
48.840663228364996, 2.3263846107928456;"{""coordinates"": [2.326384610792846, 48.840663228364996], ""type"": ""Point""}";106061;Edgar Quinet;;;71108;Edgar Quinet;45313;Edgar Quinet;A01539;C01376;METRO 6;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;650559.8002;6860279.0962
48.856228090321636, 2.3946756547920454;"{""coordinates"": [2.394675654792045, 48.856228090321636], ""type"": ""Point""}";102037;Alexandre Dumas;;;71728;Alexandre Dumas;45196;Alexandre Dumas;A01535;C01372;METRO 2;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;655585.2053;6861969.1765
48.88671096710697, 2.349559430194617;"{""coordinates"": [2.349559430194617, 48.88671096710697], ""type"": ""Point""}";104035;Château Rouge;;;71469;Château Rouge;42585;Château Rouge;A01537;C01374;METRO 4;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;652302.861;6865384.9736
48.87199369082578, 2.3770297767045334;"{""coordinates"": [2.377029776704533, 48.87199369082578], ""type"": ""Point""}";111045;Belleville;;;71853;Belleville;42311;Belleville;A01535 / A01544;C01372 / C01381;METRO 2 / METRO 11;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;654304.3217;6863732.2601
48.89090644862382, 2.3770904390888754;"{""coordinates"": [2.377090439088875, 48.89090644862382], ""type"": ""Point""}";107035;Crimée;;;72013;Crimée;42780;Crimée;A01540;C01377;METRO 7;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;654325.3614;6865835.2112
48.87600859287756, 2.344572482089328;"{""coordinates"": [2.344572482089328, 48.87600859287756], ""type"": ""Point""}";107049;Cadet;;;71351;Cadet;42414;Cadet;A01540;C01377;METRO 7;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;651927.2958;6864197.9612
48.821897938499944, 2.4131329383427076;"{""coordinates"": [2.413132938342708, 48.821897938499944], ""type"": ""Point""}";108079;Charenton-Écoles;;;70648;Charenton - Écoles;42545;Charenton Écoles;A01541;C01378;METRO 8;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;656911.0857;6858141.7767
48.864943452397696, 2.39799638832717;"{""coordinates"": [2.39799638832717, 48.864943452397696], ""type"": ""Point""}";103037;Gambetta;;;71808;Gambetta;43055;Gambetta;A01536 / A01549;C01373 / C01386;METRO 3 / METRO 3bis;METRO;0;0;1;0;0;0;0;1;0;0;RATP;1;0;655836.2429;6862936.3939
48.88432566211362, 2.367372038565468;"{""coordinates"": [2.367372038565468, 48.88432566211362], ""type"": ""Point""}";105055;Stalingrad;;;71961;Stalingrad;44901;Stalingrad;A01535 / A01538 / A01540;C01372 / C01375 / C01377;METRO 2 / METRO 5 / METRO 7;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;653606.9153;6865109.1288
48.85509449354248, 2.384699760132843;"{""coordinates"": [2.384699760132843, 48.85509449354248], ""type"": ""Point""}";109077;Charonne;;;73647;Charonne;42560;Charonne;A01542;C01379;METRO 9;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;654852.271;6861848.7876
48.87201346283033, 2.340051785735735;"{""coordinates"": [2.340051785735735, 48.87201346283033], ""type"": ""Point""}";108043;Richelieu-Drouot;;;71330;Richelieu Drouot;44642;Richelieu Drouot;A01541 / A01542;C01378 / C01379;METRO 8 / METRO 9;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;651592.0176;6863756.4929
48.881094426231876, 2.3147210047461946;"{""coordinates"": [2.314721004746195, 48.881094426231876], ""type"": ""Point""}";103067;Villiers;;;71403;Villiers;45056;Villiers;A01535 / A01536;C01372 / C01373;METRO 2 / METRO 3;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;649742.7839;6864782.058
48.86902652633847, 2.3099353887122906;"{""coordinates"": [2.309935388712291, 48.86902652633847], ""type"": ""Point""}";109049;Franklin D. Roosevelt;;;71318;Franklin D. Roosevelt;43026;Franklin D. Roosevelt;A01534 / A01542;C01371 / C01379;METRO 1 / METRO 9;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;649380.0967;6863443.2531
48.803489717990644, 2.3173602968975313;"{""coordinates"": [2.317360296897531, 48.803489717990644], ""type"": ""Point""}";117091;Bagneux - Lucie Aubrac;;;483315;Bagneux - Lucie Aubrac;483280;Bagneux - Lucie Aubrac;A01537;C01374;METRO 4;METRO;0;0;1;0;0;0;0;1;0;0;RATP;1;1;649861.7413;6856151.5575
48.85755155236203, 2.3512922093345723;"{""coordinates"": [2.351292209334572, 48.85755155236203], ""type"": ""Point""}";101051;Hôtel de Ville;;;415852;Hôtel de Ville de Paris - 4ème Arrondissement;470524;Hôtel de Ville;A01534 / A01544;C01371 / C01381;METRO 1 / METRO 11;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;652403.2862;6862141.6107
48.86651446080855, 2.3608035032752683;"{""coordinates"": [2.360803503275268, 48.86651446080855], ""type"": ""Point""}";103047;Temple;;;71296;Temple;44924;Temple;A01536;C01373;METRO 3;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;653109.1971;6863132.5225
48.86963799595273, 2.336232756868916;"{""coordinates"": [2.336232756868916, 48.86963799595273], ""type"": ""Point""}";103057;Quatre Septembre;;;71313;Quatre Septembre;44587;Quatre Septembre;A01536;C01373;METRO 3;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;651309.6735;6863494.7068
48.87877036755244, 2.3222652131188943;"{""coordinates"": [2.322265213118894, 48.87877036755244], ""type"": ""Point""}";103065;Europe;;;73617;Europe;42972;Europe;A01536;C01373;METRO 3;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;650293.8318;6864518.8631
48.89434384790808, 2.3474307799602045;"{""coordinates"": [2.347430779960205, 48.89434384790808], ""type"": ""Point""}";104031;Simplon;;;71556;Simplon;44833;Simplon;A01537;C01374;METRO 4;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;652153.7839;6866234.9969
48.84221841267896, 2.329008926235402;"{""coordinates"": [2.329008926235402, 48.84221841267896], ""type"": ""Point""}";104069;Vavin;;;71117;Vavin;44997;Vavin;A01537;C01374;METRO 4;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;650753.8774;6860450.3764
48.83111265944071, 2.3297050126201837;"{""coordinates"": [2.329705012620184, 48.83111265944071], ""type"": ""Point""}";104075;Mouton-Duvernet;;;73653;Mouton Duvernet;44183;Mouton Duvernet;A01537;C01374;METRO 4;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;650794.4816;6859215.1047
48.82818847537889, 2.3271646496078233;"{""coordinates"": [2.327164649607823, 48.82818847537889], ""type"": ""Point""}";104077;Alésia;;;71030;Alésia;42175;Alésia;A01537;C01374;METRO 4;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;650605.2307;6858891.5557
48.85614071202625, 2.3702093410963823;"{""coordinates"": [2.370209341096382, 48.85614071202625], ""type"": ""Point""}";105069;Bréguet-Sabin;;;73621;Bréguet-Sabin;42390;Bréguet-Sabin;A01538;C01375;METRO 5;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;653789.9849;6861973.5007
48.846534635796644, 2.2859992220590066;"{""coordinates"": [2.285999222059007, 48.846534635796644], ""type"": ""Point""}";110043;Charles Michels;;;71156;Charles Michels;42557;Charles Michels;A01543;C01380;METRO 10;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;647601.6845;6860957.9773
48.89150083893872, 2.3496204845329847;"{""coordinates"": [2.349620484532985, 48.89150083893872], ""type"": ""Point""}";112081;Marcadet-Poissonniers;;;71511;Marcadet Poissonniers;44075;Marcadet Poissonniers;A01537 / A01545;C01374 / C01382;METRO 4 / METRO 12;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;652311.725;6865917.5442
48.856871378314686, 2.3150566373170878;"{""coordinates"": [2.315056637317088, 48.856871378314686], ""type"": ""Point""}";114053;Varenne;;;71232;Varenne;45131;Varenne;A01546;C01383;METRO 13;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;649744.034;6862088.4335
48.84506157901035, 2.4012890198273475;"{""coordinates"": [2.401289019827348, 48.84506157901035], ""type"": ""Point""}";106033;Picpus;;;71639;Picpus;44334;Picpus;A01539;C01376;METRO 6;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;656061.0276;6860723.8589
48.85394260527926, 2.289334532778806;"{""coordinates"": [2.289334532778806, 48.85394260527926], ""type"": ""Point""}";106075;Bir-Hakeim;Tour Eiffel;;473829;Bir-Hakeim;45340;Bir-Hakeim;A01539;C01376;METRO 6;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;647853.8595;6861779.4604
48.90378388011075, 2.392221221171115;"{""coordinates"": [2.392221221171115, 48.90378388011075], ""type"": ""Point""}";107029;Aubervilliers Pantin - Quatre Chemins;;;72460;Aubervilliers Pantin Quatre Chemins;46492;Aubervilliers Pantin Quatre Chemins;A01540;C01377;METRO 7;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;655445.8206;6867258.482
48.842866829748104, 2.3522247281830833;"{""coordinates"": [2.352224728183083, 48.842866829748104], ""type"": ""Point""}";107071;Place Monge;Jardin des Plantes – Arènes de Lutèce;;71133;Place Monge;44435;Place Monge;A01540;C01377;METRO 7;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;652458.3099;6860508.2454
48.810129956339246, 2.3622633871273484;"{""coordinates"": [2.362263387127348, 48.810129956339246], ""type"": ""Point""}";107095;Le Kremlin-Bicêtre;;;70452;Le Kremlin - Bicêtre;43643;Le Kremlin - Bicêtre;A01540;C01377;METRO 7;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;653165.655;6856862.2879
48.84109405541503, 2.287945766499664;"{""coordinates"": [2.287945766499664, 48.84109405541503], ""type"": ""Point""}";108023;Boucicaut;;;412992;Boucicaut;42370;Boucicaut;A01541;C01378;METRO 8;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;647739.0763;6860351.7535
48.85772541195898, 2.3105659609468447;"{""coordinates"": [2.310565960946845, 48.85772541195898], ""type"": ""Point""}";108033;La Tour Maubourg;;;71242;La Tour Maubourg;43409;La Tour Maubourg;A01541;C01378;METRO 8;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;649415.3796;6862186.2617
48.85152370749983, 2.375101033755616;"{""coordinates"": [2.375101033755616, 48.85152370749983], ""type"": ""Point""}";108061;Ledru Rollin;;;71693;Ledru Rollin;43674;Ledru Rollin;A01541;C01378;METRO 8;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;654144.8357;6861457.2786
48.829746119059685, 2.2310281002026207;"{""coordinates"": [2.231028100202621, 48.829746119059685], ""type"": ""Point""}";109021;Pont de Sèvres;;;70698;Pont de Sèvres;44481;Pont de Sèvres;A01542;C01379;METRO 9;METRO;0;0;1;0;0;0;0;1;0;0;RATP;1;0;643549.4672;6859129.1796
48.85250408967838, 2.2681767494359604;"{""coordinates"": [2.26817674943596, 48.85250408967838], ""type"": ""Point""}";109035;Jasmin;;;73657;Jasmin;43423;Jasmin;A01542;C01379;METRO 9;METRO;0;0;1;0;0;0;0;0;0;0;RATP;1;0;646299.9369;6861633.6924
